company,category,keyword,sentence
ATOSS,operational,ai-powered,"Modern, AI-powered attendan ce tracking and analyzing productivity data, it workforce management is no longer an isolated system, was able to reduce the number of external temporary but a central component of a people operating system— workers by around 1,000 without any loss of productivity."
ATOSS,operational,ai-powered,By leveraging AI-powered static environments.
ATOSS,operational,ai-based,Precisely—through AI-based scenario analysis and predictive risk management.
ATOSS,operational,ai-powered,"AI-powered workforce understanding with a strategic perspective on technology, management is one of the fastest and most effective levers trans formation, and what's on the agenda of top decision- for simultaneously increasing productivity, strengthening makers."
ATOSS,operational,ai-powered,"AI-powered workforce management plays a key role here because it operates exactly where value is created—in planning and managing the organization’s most important resource, its people."
ATOSS,operational,our ai,"our AI-powered Workforce Intelligence solutions, we make a Our cloud solutions already include a wide range of intemeasurable, scalable contribution directly aligned with our grated AI services, and over the next 12 to 24 months, we will customers’ value creation."
ATOSS,operational,ai-driven,"For managers, leaders will be able to rely on an AI-driven platform that it means clear recommendations instead of raw data."
ATOSS,operational,ai-based,Take our Personnel Requirements Forecast as an example: Many operational decisions will be handled autonomously We developed this AI-based staffing demand forecasting by specialized AI agents in the future.
ATOSS,operational,ai-driven,"At the same time, margins are inter national scalability, or AI-driven scenarios."
ATOSS,operational,ai-enabled,"With every their shifts independently within clearly defined operational additional AI-enabled function, it is not only the operational guardrails."
ATOSS,operational,ai-enabled,"Every market model must be ope- as synonymous with this intelligent, AI-enabled form of operationally robust and financially sound."
ATOSS,operational,our ai,"At the same time, they form the basis for expanding our AI‑based services for Demand‑Driver Forecasting (multivariate models for predicting workload and staffing based on key workforce demand drivers), Absence-Rate Forecasting (AI-based predictions of absences due to sickness and vacation), and Workforce Intelligence (AI-based analytical insights into turnover, overtime, and absences)."
ATOSS,operational,ai-powered,e) Competitive risks arising from the AI boom Market demand for AI-powered features is rising among software users.
ATOSS,operational,ai implementation,"Delays in the company’s own AI implementation carry the risk of technological setbacks, customer attrition, and reduced pricing power."
ATOSS,operational,ai-driven,"Opportunities report The Management Board sees the main opportunities in the following descending order in terms of their significance: We perceive opportunities to further expand our business model, in particular, in the trend towards the full digitization of HR processes including AI-driven services, in the general move towards cloud solutions and in the growing demands on companies to make working time more flexible."
ATOSS,operational_context,automated,"The majority of this potential is expected to come qualifications, balances overtime, avoids risky double from productivity gains—for example through automated workloads—and transparently explains why each shift was processes, better forecasting, and data-driven decisionchanged."
ATOSS,operational_context,automated,Decisions can be increasingly based on automated data analytics.
ATOSS,operational_context,automated,What impact has the automated payroll interface had?
ATOSS,operational_context,automated,"Many of these constellations are In 2020, after a comprehensive analysis, HENSOLDT chose now partially automated in ATOSS."
ATOSS,operational_context,automated,"When integrating a new entity short term, task management and employee dash boards with 1,600 employees, this approach led to remarkably few will be expanded—for example, with automated notifisupport requests in the first few weeks."
ATOSS,operational_context,already using,HENSOLDT is already using RPA to automate recurring steps The focus is on time and attendance complemented by task in ATOSS.
ATOSS,operational_context,automated,"Aileen Matysiak Teamlead Workforce Management | Hermes Fulfilment In recent years, the warehouse and returns logistics pro- coordination workload and ensures stable schedules—even vider Hermes Fulfilment has digitalized and automated its during periods of high operational pressure."
Bechtle,strategic,artificial intelligence,"February Strong for the future Bechtle publishes its strategic positioning on artificial intelligence, underpinning its claim to be one of the leading IT service providers actively shaping the future of this key technology in Europe."
Bechtle,strategic,artificial intelligence,"In addition, the IT industry is increasingly feeling the consequences of the technological revolution based on artificial intelligence."
Bechtle,strategic,digital transformation,"With their commitment, sense of responsibility and motivation, they all contribute to successfully guiding our customers through their digital transformation."
Bechtle,strategic,digital transformation,We are excellently prepared to further utilise the opportunities presented by the digital transformation and continue our growth trajectory.
Bechtle,strategic,artificial intelligence,"We have also continuously analysed the risk situation– especially with regard to the macroeconomic situation, the rapid pace of change in the IT market, the opportunities and challenges of the increasing importance of artificial intelligence, as well as risks due to cybercrime– and actively participated in the further development of Bechtle AG’s control and risk management system."
Bechtle,strategic,artificial intelligence,"Ongoing economic and geopolitical uncertainties, but above all the increasing momentum in connection with artificial intelligence, led to this development."
Bechtle,strategic,artificial intelligence,"Stock market Volatility with a positive year-end result The 2025 stock market year was also characterised by a tense economic situation in Germany, and further falls in key interest rates, but also positive momentum because of progress in technological innovations such as artificial intelligence (AI)."
Bechtle,strategic,digital transformation,Business model Everything to do with IT Bechtle is one of the leading IT companies in Europe and offers technology concepts and comprehensive IT solutions for digital transformation from a single source.
Bechtle,strategic,artificial intelligence,"From complete IT workstations, data centres and multi-cloud solutions to IT security and artificial intelligence, we develop future-proof IT architectures."
Bechtle,strategic,artificial intelligence,"For more information, see Sustainability Statement, Value chain Bechtle Annual Report 2025 27 Combined Combined Consolidated To our Management Sustainability Financial Further Shareholders Report Statement Statements Information The service spectrum extends from the sale of hardware and software solutions, IT strategy consulting, IT infrastructure consulting, modern workplace, application solutions, project planning and implementation, system integration, maintenance and training to the provision of multi-cloud and managed services, IT security services and artificial intelligence."
Bechtle,strategic,digital transformation,"Independent of the distribution channel X-as-a-service Driven by the ever-advancing digital transformation, the market for IT solutions and services is in a state of constant change."
Bechtle,strategic,artificial intelligence,"Megatrend Artificial Intelligence (AI) AI is one of the topics of the future, both in the IT sector and generally, so it is likewise a major focus for Bechtle."
Bechtle,strategic,ai will,"In the medium and long term, however, AI will further increase the demand for complex IT solutions and individual advice."
Bechtle,strategic,artificial intelligence,Research and development Customised development services and research into artificial intelligence Bechtle conducts software and application development activities both for internal purposes and for individual customer projects.
Bechtle,strategic,artificial intelligence,"PLANET AI In addition to providing other development services, PLANET AI GmbH focuses on intensive research in the field of artificial intelligence."
Bechtle,strategic,artificial intelligence,"Joint research, close collaboration and the continuous exchange of knowledge and technological advances make a significant contribution towards strengthening the research and development of artificial intelligence."
Bechtle,strategic,digital transformation,We stand for future strength and offer technology concepts and comprehensive IT solutions for digital transformation.
Bechtle,strategic,digital transformation,Bechtle Annual Report 2025 40 Combined Combined Consolidated To our Management Sustainability Financial Further Shareholders Report Statement Statements Information Actively shaping digital transformation Bechtle has been active in the IT market for over 40 years – a business environment characterised by rapid technological progress and constantly increasing demands.
Bechtle,strategic,digital transformation,"Although the traditional model will continue to play a role, the ongoing digital transformation and the growing need for solution-orientated IT consulting are increasing the demand for flexible, subscription-based solutions."
Bechtle,strategic,artificial intelligence,"We are witnessing this once again today, driven in particular by advances in artificial intelligence."
Bechtle,strategic,digital transformation,"The general demand for IT driven by the digital transformation will increase – and with our international presence in 14 European country markets, our broad solution expertise and the diversity of customer groups and sizes, we are very well positioned."
Bechtle,strategic,artificial intelligence,"Most customers also rely on the expertise of an experienced partner for questions relating to the use of artificial intelligence (AI), the implications of which are still not fully foreseeable, and with regard to the possibilities for greater digital sovereignty."
Bechtle,strategic,digital transformation,"This can be seen not least in the new German Federal Ministry for Digital Transformation and Government Modernisation, founded in 2025, which has set itself the goal of making Germany more digital, faster and less bureaucratic."
Bechtle,strategic,artificial intelligence,Digitalisation and the trending topic of artificial intelligence (AI) also offer opportunities for the Bechtle Group.
Bechtle,strategic,digital transformation,"With our portfolio of sustainable technologies, solutions and services, we are actively supporting our customers in the digital transformation and the fulfilment of their corporate digital responsibility."
Bechtle,strategic,artificial intelligence,"There are currently several projects in which artificial intelligence is being used to increase efficiency in internal sales, as well as in the provision and range of services."
Bechtle,strategic,artificial intelligence,Some of our customers also focussed on the fundamentally new possibilities offered by the use of artificial intelligence (AI) in the reporting period.
Bechtle,strategic,artificial intelligence,The use of artificial intelligence also plays an important role here.
Bechtle,strategic,digital transformation,"The qualifications and competences of the Supervisory Board reflect the impacts, risks and opportunities (IROs) areas of digital transformation, supply chains & compliance, environmental impacts and social aspects, among others."
Bechtle,strategic,digital transformation,"Sustainable technologies, solutions We play an active and responsible role in the digital transformation of our and services customers."
Bechtle,strategic,intend to implement,A detailed overview of the current actions with which we intend to implement these goals can be found in theSustainability Programmein the Notes.
Bechtle,strategic,digital transformation,"We support more than 70,000 customers from trade and industry, the public sector and the financial market on their digital transformation journey and offer a comprehensive, cross-vendor portfolio of IT infrastructure and IT operation solutions."
Bechtle,operational,chatbot,"With our subsidiary Planet AI, a commitment to the AI ecosystem IPAI, the company’s own chatbot Bechtle GPT and other services with AI components, the Bechtle Group has already positioned itself well here."
Bechtle,operational,ai platform,At the centre of the research is PLANETBRAIN – an AI platform with patented core technology that forms the basis for the development of Intelligent Document Analysis (IDA).
Bechtle,operational,ai-based,The use of AI-based solutions will also have a significant impact on the use of IT in the coming years.
Bechtle,operational,ai-driven,"At the beginning of 2026, the IT market have alsobeen burdened by the AI-driven high demand for memory components, which has already led to price increases for PCs."
Bechtle,operational_context,automated,"Furthermore, manufacturers’ specific platform strategies cannot always be combined with automated workflows on our part."
Bechtle,operational_context,automated,"Automated, playbook-based reaction mechanisms are also used."
Bechtle,operational_context,automated,"Security analysts are available to provide support for actions that cannot be automated, as well as in the event of successful attacks as part of Digital Forensics & Incident Response (DFIR)."
Dermapharm SE,operational_context,automated,An increase in the reference rate over the course of 2026 is tains automated cash pools for this purpose.
Deutz AG,strategic,artificial intelligence,"The Supervisory Board regards the following certain minimum competencies that are necessary for the as key elements of this skill set: proper performance of their role: ▪ Experience in managing and supervising international ▪ Ability to understand and critically scrutinize the companies business model ▪ Competence in the Company’s areas of activity and in ▪ Fundamental knowledge of the relevant legal provisions the associated markets and value chains ▪ Fundamental knowledge of compliance ▪ Competence relating to the strategic and sustainable development of the Company, of technology, and of the ▪ Fundamental financial expertise, particularly in markets accounting, risk management, and annual financial statements ▪ Knowledge of codetermination law ▪ Ability to examine the annual financial statements, if ▪ Knowledge of finance, accounting, and auditing necessary with the assistance of the independent auditor ▪ Knowledge of legal matters, corporate governance, and risk management ▪ Ability to understand, critically scrutinize, and draw conclusions from the reports of the Board of ▪ Experience in the areas of supply chains, research and Management and of the Supervisory Board committees development, and manufacturing ▪ Ability to assess the propriety, commercial viability, ▪ Experience in sales, service, and marketing appropriateness, and legality of business decisions and to check their plausibility ▪ Knowledge of sustainability issues and ESG13 topics that are relevant to the Company ▪ Willingness and ability to devote the time and effort required ▪ Knowledge in the areas of IT, digitalization, Industry 4.0, and artificial intelligence (AI) ▪ Willingness to undertake ongoing professional development in the form of both inhouse and external ▪ Knowledge of capital and financial markets training activities In addition, in accordance with the requirements of section 100 ▪ Personal independence and integrity (5) AktG, at least one member of the Supervisory Board and the Audit Committee must have expertise in the area of accounting and at least one member of the Supervisory Board and the Audit Committee must have expertise in the area of auditing (financial experts)."
Deutz AG,strategic,artificial intelligence,"AGG,18 and non-discrimination, as well as the new module established in 2025 regarding LkSG and a module providing an In 2025, the code of conduct was again made accessible to all introduction to artificial intelligence."
Deutz AG,strategic,artificial intelligence,"particularly the US tariff policy, can be offset by a boost to growth triggered by technology sector investment, for DEUTZ anticipates largely stable energy prices year on year in example in artificial intelligence (AI) infrastructure, especially 2026, particularly in the case of electricity."
Durr,strategic,artificial intelligence,"Added to these are transformational challenges such as the transition to e-mobility, the advancement of artificial intelligence, and the global expansion of Chinese companies."
Durr,strategic,artificial intelligence,"In this context, the Supervisory Board also addressed the deployment of artificial intelligence within the Group as well as business opportunities in the fields of robotics and defense."
Durr,strategic,artificial intelligence,"Ulrich Dietz, Chairman of the Council, summarized the council’s current work priorities, including artificial intelligence and automation."
Durr,strategic,artificial intelligence,"For many years, the Schuler family digitalization of production processes includes, for example, formed a shareholder group with the Erich and Hanna manufacturing execution systems (MES) for higher-level factory Klessmann Foundation, whose approximately 400,000 no-par control as well as analysis applications, which often operate with value shares were acquired in full by Dürr Technologies GmbH artificial intelligence (AI)."
Durr,strategic,artificial intelligence,"To achieve this, we are process time, the new system uses dip tanks arranged next to integrating artificial intelligence and simulations into our each other, which can be operated with individual cycle times."
Durr,strategic,artificial intelligence,Another key topic was the Dürr Group’s strategy with regard to artificial intelligence.
Durr,strategic,artificial intelligence,A further escalation could lead to regulatory requirements when deploying artificial intelligence.
Durr,strategic,artificial intelligence,5.2.1 OPPORTUNITY MANAGEMENT SYSTEM 5.2.3.2 Artificial intelligence/digitalization Digitalization opens up new business and differentiation We identify and evaluate new business opportunities with the aid opportunities.
Durr,strategic,artificial intelligence,"Particular opportunities for differentiation aggregated to identify opportunity complexes, and it is duly arise from the deployment of artificial intelligence, such as the evaluated."
Durr,strategic,artificial intelligence,The use of production will increase by around 2% to 94.0 million vehicles in artificial intelligence also opens up opportunities for new 2026.
Durr,strategic,plan to use ai,We (including packaging) used in plan to use AI to automatically extract information on recycling the manufacture of the company’s products and proportions from suppliers' product-related documents.
Durr,strategic,artificial intelligence,for new tasks and train them in the use of digital technologies and artificial intelligence.
Durr,strategic,pilot phase,"In the pilot phase, we are at our sites abroad."
Durr,operational,predictive maintenance,"It specializes in software family includes, for example, solutions for plant coating systems for electrode foils, dryers, calendering monitoring, higher-level manufacturing execution systems, as machines, as well as solvent recovery systems and was well as condition analytics, and predictive maintenance."
Durr,operational,predictive maintenance,"The pool agreement contains extensive reciprocal root cause analysis, and predictive maintenance."
Durr,operational,ai-based,"In order to this end, the Council balances the innovation strategy against reduce programming effort, BBS Automation is working on current trends in production technology and advises the Board integrating cameras and AI-based image processing systems of Management on the potential of future technologies."
Durr,operational,ai-based,The energy requirements of our technologies are AI-based software that accesses our most important ERP usually determined as part of product development or project systems.
Durr,operational,ai application,We check compliance with the Code as part of quality the AI application and recording the weight of purchased audits.
Durr,operational,using ai,The calculation was carried out using AI- business rests with the respective division management.
Durr,operational_context,automated,"Gluing technology is used for the paint separation system, the EcoInCure car body oven, and the automated fitting of windows, glass roofs, or cockpits."
Durr,operational_context,automated,"It advises on the and application technologies for the automated spray application planning of factories as well as assembly and production of primers, base coats, and clear coats, in addition to plant processes for the automotive industry and other industries."
Durr,operational_context,automated,"changers EcoLCC2 and EcoMCC3, and the robot-based application system EcoPaintJet for automated two-tone painting The Lithium-Ion Battery business unit has also been part of the without paint loss."
Durr,operational_context,automated,"The automated systems for the assembly and testing of automotive software portfolio ranges from easy-to-use apps for craft components, electric drives, as well as small plastic products businesses through to solutions for digitalizing entire factories."
Durr,operational_context,automated,"It offers solutions for eliminating unbalance in rotating climate-friendly and their production can be easily automated, bodies – from small dental drills to power plant turbines – and we see considerable potential for growth in this area."
Durr,operational_context,automated,25 ANNUAL REPORT 2025 Contents Management and share Combined management report Remuneration report Consolidated financial statements Other Fundamentals: The Group at a glance 2.2 — ACTIVITIES AND SALES MARKETS1 AUTOMOTIVE DIVISION Business type Activities Customer groups ▪Mechanical and plant engineering ▪Paint shops ▪Automotive manufacturers ▪Robots and products for automated spray painting ▪ Automotive suppliers ▪Sealing technology ▪ Commercial vehicle manufacturers ▪Gluing technology ▪ General industry (e.g.
Durr,operational_context,automated,We are sharpening our focus on this field of ▪ Administrative resizing goes hand in hand with changes in technology as we expect demand for automated production the governance structure.
Durr,operational_context,automated,"Such reshoring strategies are only efficient if the new will be streamlined and concentrate solely on holding locations are highly automated, ensuring that production activities."
Durr,operational_context,automated,"Instead of the growth in sales to between automated production of construction elements for climate- €300 and €500 million originally considered achievable, an friendly timber houses."
Durr,operational_context,automated,"We are There is also great growth potential in the future, as timber currently testing the mass-production capabilities of this house construction is sustainable and can be readily automated."
Durr,operational_context,automated,This trend is reflected in the areas of expertise and leverage synergy potential under the one construction of highly automated factories with an annual output roof of the Dürr Group.
Durr,operational_context,automated,"In addition, the divisions support automated systems for assembling and testing mostly small each other in their operations, for example in project execution products in very large quantities."
Durr,operational_context,automated,31) 982 953 1.6.1 R&D GOALS R&D personnel costs € million -103.5 -98.6 1 Continued operations The products and manufacturing processes developed through 2 Share of R&D expenditure in sales our R&D work are designed to enable customers to produce in an automated as well as energy- and resource-efficient manner.
Durr,operational_context,automated,In manufactured efficiently on automated lines.
Durr,operational_context,automated,"39 ANNUAL REPORT 2025 Contents Management and share Combined management report Remuneration report Consolidated financial statements Other Fundamentals: Research and development 1.6.4.2 Industrial Automation ▪ Ulrich Dietz (Chairman), Chairman of the Administrative BBS Automation offers automated systems for the production of Board of GFT Technologies SE hairpins and X-pins for the stators of electric motors and is now ▪ Prof."
Durr,operational_context,automated,We invested in a new automated sheet metal processing plant in Southfield before the tariff conflicts began.
Durr,operational_context,automated,"The key instruments, controls, and backup routines for the accounting process are as ▪ Our ERP systems and the consolidation system include follows: automated controls to ensure that individual business transactions are duly assigned to the correct balance sheet ▪ Dürr AG’s Accounting Guideline defines the accounting line items."
Durr,operational_context,automated,We therefore use down payments as security and closely monitor Demand for automated assembly and testing systems for incoming payments.
Durr,operational_context,automated,"In addition, automated assembly and testing lines for Technology Council also form part of opportunity management."
Durr,operational_context,automated,"Among other things, there is increasing investment in the construction of large factories for 5.2.2 POTENTIAL OFFERED BY OPPORTUNITIES the automated prefabrication of timber construction elements on an industrial scale."
Durr,operational_context,automated,"We support them with low-consumption solutions and With BBS Automation, we are expanding in the market for electrically powered machinery and systems that operate automated systems for assembling medtech products (such as without fossil fuels."
Durr,operational_context,automated,"Moreover, our automated through the integration of BBS Automation."
Durr,operational_context,automated,"These technologies include machines and systems for activities manufacturing cross laminated timber, for the fully automated According to the EU Taxonomy Regulation, taxonomy-eligible production and insulation of wall and ceiling elements of timber economic activities are to be classified as taxonomy-aligned if houses, and for the production of timber windows and doors."
Durr,operational_context,automated,"In addition, the Group has systems for automated paint applications as well as sealing and applied the new and/or amended standards and the gluing technology."
Durr,operational_context,automated,"Furthermore, the Automotive division offers testing technology, The revenue from contracts with customers was recognized for assembly products and filling technology for final vehicle each division in accordance with IFRS 15 and categorized into assembly as well as products and systems for the automated over-time and point-in-time revenue."
Heidelberg Druckmaschinen,strategic,artificial intelligence,We use artificial intelligence (AI) in a targeted manner to reduce the workload on staff and to ensure quality.
Heidelberg Druckmaschinen,strategic,artificial intelligence,Automation and artificial intelligence AI applications are helping HEIDELBERG revolutionize the printing industry.
Heidelberg Druckmaschinen,operational,predictive maintenance,Predictive maintenance A printing press is still built using large quantities of metal.
Heidelberg Druckmaschinen,operational,predictive maintenance,"There, they are evaluated and used for predictive maintenance of the printing presses."
Heidelberg Druckmaschinen,operational,our ai,Our AI-driven planning enables us to continuously optimize prowe have the right duction – all the way to fully autonomous process chains.
Heidelberg Druckmaschinen,operational,thanks to ai,"Perfect presettings thanks to AI The new Speedmaster XL 106 uses the Hycolor Assistant and AI to fully automate the presetting of the inking unit and dampening system and, in combination with Hycolor XL, cuts set-up waste by up to 25 percent."
Heidelberg Druckmaschinen,operational,ai-based,These AI-based digital systems enable customers through improvements in internal efficiency.
Heidelberg Druckmaschinen,operational,ai-based,It is precisely these situations that ther development of a market-ready system for the industrial HEIDELBERG is addressing with its AI-based Prinect Touch production of hydrogen and then industrialize it.
Heidelberg Druckmaschinen,operational_context,automated,"With our highly automated machines, robotics systems and the Prinect software platform, processes become even more efficient and require fewer skilled personnel."
Heidelberg Druckmaschinen,operational_context,automated,"But even these demanding print jobs could be fully automated in the next ten years, so that the printing process would only stop in the event of serious faults."
Heidelberg Druckmaschinen,operational_context,automated,for action Performance Advisor Technology (PAT) is an automated consulting service for print shops that uses AI to continuously analyze production data and provide recommendations.
Heidelberg Druckmaschinen,operational_context,automated,and automated workflow for the most attractive packaging segments to provide a greater level of automation for 5.
Heidelberg Druckmaschinen,operational_context,automated,"It also offers its customers addi- machines are built at two production sites: In Wiesloch-Walltional integrated solutions for hybrid, computer-controlled dorf, Germany, we assemble a wide variety of highly automated print production processes in the form of digital printing machines specially configured to the customer’s requirements systems based on toner and inkjet technologies."
Heidelberg Druckmaschinen,operational_context,automated,"This fully digital label printing machine is a highly process in the packaging sector, accounted for around 28 per- automated and cloud-connected system that uses UV inkjet cent of the printing market in 2023."
Heidelberg Druckmaschinen,operational_context,automated,Print shops providing commercial solutions in industrialized countries lies more on luxury and printing services will need these kinds of automated and flexsustainability.
Heidelberg Druckmaschinen,operational_context,automated,"Our high performance, digitally HEIDELBERG addresses the market for packaging printing connected printing presses work according to the “Push-towith both its highly automated sheetfed offset presses in the Stop” philosophy, meaning that the printing process is fully Speedmaster series and also its Boardmaster flexographic automatic and only stops when the operator presses a button."
Heidelberg Druckmaschinen,operational_context,automated,"printing system, which satisfies the main requirements and For the postpress processing of printed sheets, we already issues faced by customers in the packaging market: cost pres- offer automated solutions and robots for the packing process sure, productivity, lack of skilled workers, exclusivity and (“end-to-end”)."
Heidelberg Druckmaschinen,operational_context,automated,the path to fully automated printing processes.
Jenoptik,strategic,artificial intelligence,"Here, artificial intelligence and advanced software are playing an increasingly important role."
Jenoptik,strategic,artificial intelligence,"The solutions offered cover a wide range of stationary and mobile applications, and use video analytics, artificial intelligence, and sensor fusion."
Jenoptik,strategic,artificial intelligence,We also want to further expand our software expertise and our knowledge in the field of artificial intelligence.
Jenoptik,strategic,artificial intelligence,The use of artificial intelligence plays an increasingly important role in both frontend and backend systems.
Jenoptik,strategic,artificial intelligence,Particular attention was paid to the emerging field of quantum technology as well as to developments in artificial intelligence.
Jenoptik,strategic,artificial intelligence,Digitization and artificial intelligence are primarily viewed as opportunities to further integrate digital solutions into the product portfolio.
Jenoptik,strategic,artificial intelligence,Trends relating to artificial intelligence and the increasing digital interconnection of hardware and software components are associated with rising demand for high-performance chips in the semiconductor industry and for semiconductor manufacturing equipment.
Jenoptik,strategic,artificial intelligence,"Due to the rapid progress in the use of artificial intelligence (“AI”) and the increasing digitization in all areas of application, the requirements placed on Supervisory Board members’ expertise in the areas of digitization, digital transformation of the company, and integration of AI into the corporate business models have increased."
Jenoptik,strategic,digital transformation,"Information Security − Corporate Innovation & Digital Transformation − Mergers & Acquisitions − Purchasing − Marketing & Communication − Quality − Legal − Environmental, Health and − Compliance & Risk incl."
Jenoptik,operational,ai-driven,"These include, for example, optical information and communication technology, where demand for high-quality transceivers for AI-driven data centers is increasing."
Jenoptik,operational,ai-based,"T06 Key projects in 2025 Market Products and solutions developed and launched in 2025 Semiconductor equipment − Expansion of the customer-specific EUV portfolio for semiconductor lithography (light sources, imaging optics, wafer metrology) − Further development of design and manufacturing technologies for highest-performance lenses to meet significantly increased requirements in semiconductor equipment and adjacent markets − Development of scalable, miniaturized high-performance modules, enabling parallelization of optical functions and higher throughput − Development of interfaces in existing design and manufacturing technologies for the integration of photonic integrated circuits (PICs) into miniaturized optical solutions − Optimization of product designs with a focus on sustainability and circularity (“reuse”), including the reuse of returned components in newly manufactured products Metrology and electronics − ImageMaster® PRO AR Reflection: new solution for fast and reliable quality inspection of optical components for augmented reality applications, suitable for high-volume production and improving process reliability and yield − ImageQuality Hub: new software solution enabling standardized, more efficient evaluation and comparability of measurement results across different systems and locations − CamTest Focus OEM: new, easily integrable test unit for fast and more efficient inspection of camera image quality in production − SurfInspect: new automated, AI-based inspection system for objective assessment of the surface quality of optical components, reducing manual effort and improving result comparability Life science and medical − Development of adaptable semiconductor-based white-light sources through the combination of technology illumination and imaging expertise − Integration of multiple technologies into a system supporting minimally invasive, robot-assisted applications for more precise and safer procedures, including in surgical urology and ophthalmology − Participation in the German Federal Ministry of Education and Research (BMBF) funding program “Fusion 2040” as part of the joint project DioHELIOS: contribution to fundamental development of highly efficient diode laser modules as pump sources for high-energy lasers in inertial fusion reactors Traffic safety technology − Expansion of AI-based detection capabilities to include additional types of violations (including turning violations) as well as identification of hazardous and safety-critical behavior − Continued modernization of the software architecture, with initial implementations at customer sites 42 Jenoptik Annual Report 2025 Combined Management Report | General Group Information Employees Development of employee numbers As of December 31, 2025, Jenoptik employed 4,453 people (including trainees and temporary staff), a decrease of 4.2 percent compared with the prior year (31/12/2024: 4,646 employees)."
Jenoptik,operational,ai solution,The medium to high risks associated with the unintended transfer of sensitive data through the use of publicly accessible AI applications and cloud services have been mitigated by the introduction of internal guidelines and the deployment of a proprietary AI solution for employees.
Jenoptik,operational,ai-driven,"The IMF identifies risks, among other factors, in the possibility that expected AI-driven productivity gains may not materialize as anticipated, which could have implications not only for real investment but also for stock markets."
